,id,comment_text, 'Bandwagon',"""Misrepresentation of Someone's Position (Straw Man)""",'Appeal to authority','Appeal to fear/prejudice','Black-and-white Fallacy/Dictatorship','Causal Oversimplification','Doubt','Exaggeration/Minimisation','Flag-waving','Glittering generalities (Virtue)','Loaded Language','Name calling/Labeling',"Obfuscation, Intentional vagueness, Confusion",'Presenting Irrelevant Data (Red Herring)','Reductio ad hitlerum','Repetition','Slogans','Smears','Thought-terminating cliché','Whataboutism'
6837,171_batch_2,"Americans when Newton discovered gravity:

Gravity communist

Don't fall to 9.8 m / s ^ 2

Massage is my choice",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
5439,201_batch_2,Whoever replaces Ginzburg raped me in high school.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
381,406_batch_2,"You can either vote for the man that bangs pornstars and supermodels or vote for the man that gropes, feels up and sniffs little girls
",0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
5815,359_batch_2,"ANTI-TRUMPER JUNE 2019
TRUMP is weak because it did not start a war with Iran

ANTI-TRUMPER JANUARY 2020
TRUMP TRIES TO START A WAR WITH IRAN",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
3870,143_batch_2,"ANTIWAXER THAT SAYS THE DISEASE END
THROUGH IMPROVED SANITATION.
Let's take a look at some places where the disease has already been eradicated.

This is a low income area in MUMBAI in India that has never had a POLIO before.
Isn't it amazing what sanitation can do?",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7793,641_batch_2,"Case your betrayal in love...

Israeli scientists haven't found a cure for all cancers. Another academic example of poor reporting by this gullible medium is not.",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
6683,21,"Freedom of expression?

Hate speech?

Someone to explain this shit...",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2614,233_batch_2,Oh damn we are all treated the same !! Who knew,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1754,215_batch_2,TRUMP SAID THAT THEY ARE FIGHTING AN OLD RING OF SEX TRADING AND NOT A REPORTER WHO JUST ASK FOR MORE INFORMATION.,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
7767,631_batch_2,"If you criticize others for ignoring compelling scientific evidence in favor of man-made global warming ...
... but ignore the hard science that shows GMO foods are safe and organic foods have no nutritional value ...

You are misunderstanding science!",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
1877,391_batch_2,"Hence, KAMALA voted to meet with Trump for Joe's crime.",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
5939,417_batch_2,Joe Biden's Fromm is bigger than his audience,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
5180,133,"It is true

Did You Know Training Black Americans To Fight Democratic Group KKK For NRA Formation",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
6989,225_batch_2,"Donaldo, how do you sleep at night? Do you know how much people hate you?

Super model nude, its MR. You for the President.",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
5919,409_batch_2,"IMPOSTOR

Everything that this person has told you about himself:
Your birth certificate, your SS number, your education, your commitment to the welfare of this country, your religion ... everything ... is a lie.",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
1538,641_batch_2,"In case you fall in love ...

Israeli scientists have NOT found a cure for all cancers. It was just another case of scientific misinformation by the gullible media.",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
4908,657_batch_2,"Claim: Acupuncture is a form of Chinese medicine that is thousands of years old.

However, needle manufacturing technology is only a few hundred years old.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5420,66_batch_2,Anyone else want the ass to pass?,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3863,196_batch_2,AMERICA OF FOOD FOR THE LONG LINE TO VOTE NOW THAN Awaiting TRUMPF LONG LINE TO ABY NAIL,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
6850,11_batch_2,"So far, you have worked a total of 12 days during the 90-day pandemic.

TAKE A STEP BACK
You're pathetic!",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
7042,255_batch_2,I heard you don't want to moderate me anymore. THIS IS TRUE?,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6149,565_batch_2,"Thousands of protesters say they have sex with the police.
Hundreds of 911 arcs when several types of trucks.
Irony",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7041,251_batch_2,"democratic party
We run cities ... by land.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2022,637_batch_2,"Most children treated for cancer cannot be vaccinated.
Unvaccinated people threaten their lives.

Vaccinations
It's not always about you.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
4399,382_batch_2,"Losers can continue to watch sweaty NFL thugs help rapists and BLMs.

I keep watching the beautiful girls play beach volleyball.",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
374,399_batch_2,"YOUR SUFFERING IS NOT MY PROBLEM!

YOU GET NOTHING, UNTIL I GET WHAT I WANT!
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1936,523_batch_2,"To lay off

An act done in urban communities to honor a recently murdered person that no one knew, but you tell people he was like a son.

For a good looted etiquette, underwear must be fully visible at all times.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1014,594_batch_2,"9 days infected
Was in contact with 42 people asymptomatic and feel good!

Infected for 35 minutes
On the verge of getting very sick, missing two weeks of work and paying by truck

Meet a nurse.

Mama has cancer.

Has asthma.

Asymptomatic? Fortunately for you.
It could be bad luck for everyone.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5568,244_batch_2,LATEST NEWS ... FLY SILVER!,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
367,391_batch_2,"SO, KAMALA VOTED TO CONVICT TRUMP FOR THE CRIME THAT JOE BRAGGED HE COMMITTED?
",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
6840,68_batch_2,"HEY LIBERALS
DO WE CHANGE THE FLAG TO LOVE YOU?

BASIC FACILITIES
-2020-
KEEP AMERICA GREAT!",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2272,53,"LIBERAL LOGIC: ""DO NOT CALL THEM ANIMALS!""

""DON'T CALL YOU PEOPLE!""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
256,270_batch_2,THAT FACE YOU MAKE WHEN CRIMINALS ARE QUESTIONING YOUR INTEGRITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3319,608_batch_2,"I will never know measles, chickenpox, polio, or whooping cough.

Thanks for vaccinating my mom.
I love you",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
6114,547_batch_2,"This is a garage door cable, and it turned out
there for years.

Obviously it's a rope, and they put it there because I'm black.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1575,680_batch_2,"Tell him right away

BETTER MY NAME IS NOT ON YOUR DUMB ASS KIDS COMPUTER",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
7350,392_batch_2,BIDEN CHOOSING KAMALA HARRIS TO LOSE VOICE WITH HIM!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6709,151,"TUESDAY NOVEMBER 3, 2020 WE WILL MAKE AMERICA AGAIN
CHOOSE THIS nightmare from the office!",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
1485,574_batch_2,"Let me blow in your ear.

IS FANTASTIC!
THANK YOU FOR FILLING!",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3418,647_batch_2,"In fact, turkey contains L-tryptophan, which can cause drowsiness.

But no more than beef, chicken, or any other common meat.
So drowsiness is more likely because you ate like a pig, drank some wine, and then ate more.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6628,181,"""People die who have never died before.""
- Donald J. Trump, March 18, 2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3601,125,"I hate trump

MADE THE MOST TERRORISTIC",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
6867,57_batch_2,Imagine when 50 million children can fulfill their wishes.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1483,572_batch_2,I could stay here all day and still be full of shit.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4495,427_batch_2,There's a woman in America tonight who has to live with the NFL going to honor her rapist by wearing her name on their helmets.,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
5976,432_batch_2,"Triumph
Pence 2020
May America be great!",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
999,576_batch_2,"In an effort to level the playing field, Barron Trump debates Joe Biden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
566,657_batch_2,"Claim: Acupuncture is a form of Chinese medicine that is thousands of years old.

However: The technology for making the needles is only a few hundred years old

",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3747,118,"free

American",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
6217,593_batch_2,The face you make when you make COVID-19 dies at 80 degrees and global warming can save us,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4449,404_batch_2,THE DEMOCRATS THINK THEIR COUNTRY IS A GOOD CAMPAIGN STRATEGY.,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
5652,291_batch_2,"IF YOU WANT TO SEE ADAM SHIFF, TRY THE TREATMENT, GIVE A BIG INCH!",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
961,524_batch_2,"Disney

Hey America, look who Disney just hired to teach your kids American history.
Think about it next time you pay too much to visit Disneyland.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
715,170_batch_2,"FIRST PHOTO OF RUSSIAN VACCINE

VODKA SMIRNOFF",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
93,151,"ON TUESDAY, NOVEMBER 3, 2020, WE MAKE AMERICA GREAT AGAIN 
BY VOTING THIS NIGHTMARE OUT OF OFFICE!

",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
1264,212_batch_2,WHEN YOU ARE SO FULL OF SHIT YOU NEED A SECOND ASS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6571,27,"Deaths in the United States in 10 years: 2004 through 2015

For measles
ZERO
Source: CDC

For measles vaccines
108
Source: VAERS database",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
655,123,"Former presidents can be impressed!
IMPEACH OBAMA!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2473,57_batch_2,Imagine 50 million children were allowed to die,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4761,600_batch_2,"David missed his flu shot.
He fell ill and recovered within a week.
Your older grandmother was less fortunate.

Vaccines are not always about you.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6534,182,"The most expensive mistakes in history

World Health Organization (WHO)
Preliminary investigations by the Chinese authorities have not provided clear evidence of person-to-person transmission of the new # coronavirus (2019-nCoV), identified in # Wuhan, # China.
January 14, 2020

FIRST WORLD 3 FEBRUARY 2020/22: 33/2 MONTHS BEFORE
According to the head of the WHO, widespread travel bans are not needed to defeat the Chinese virus.",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
4446,403_batch_2,"GOOD FAST WORK

VISIT JACOBS BUT NOT TWO PROTECTED OFFICERS",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
2477,140_batch_2,"Mitch McConnell-2016
American people have to voice their next Supreme Court's choice.
This is full of vacancy sloppy until we are new president.

You must be a special kind of idiot if you think McConnell will follow his advice on his own.",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
7380,406_batch_2,"You can vote for a guy who fucks a porn star and a model or for a guy who moans, stinks and stinks like girls.",0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
4237,314_batch_2,"Remember, at the grocery store, the kids sat in the trash can screaming and screaming and things were falling apart and their parents were there to do nothing.
We said, ""May God help us when they grow up.""
Well ... they have grown up.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
976,545_batch_2,"DO YOU WANT TO REMOVE THE STATUES?

Start this unnecessary mother fucker here!",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
3877,7_batch_2,The corrupt group,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
7360,399_batch_2,"Your apology is not my problem!

You won't get until I get what I want",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
54,123,"Former Presidents can be IMPEACHED!
IMPEACH OBAMA!
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1588,73,"Calm down, Trump's little enemy
I found your BINKY",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
4410,385_batch_2,"Is there anything suitable at all in a public school?
Let's talk about it because it has become a pervasive problem that affects our children ...

THE BLACK LIFE IS IMPORTANT",0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
4533,448_batch_2,"""Come on dude, you know that.
PLEASE JUST MAKE MY WIFE A DOG. """"",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
6609,123,"Former presidents can be impressed!
HIT OBAMA!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1202,164_batch_2,"Anti-vaccines say Brady Bunch's measles episode is proof that measles wasn't a big deal.

If you have to get sick, you certainly can't beat measles

With this logic, Hogan's Heroes is proof that the prison camps of WWII were just bullshit and giggle.",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1591,104,"SCARE LINK TACTICS.

Close shops
Close the scenarios
Destroy the exchange
Try to eliminate TRUMP RALLIES.
Is it part of a larger conspiracy?
CORONAVIRUS
NO PANIC ..
THINK OF AMERICA!",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
7469,452_batch_2,"Sorry, female only GROUP",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4978,681_batch_2,"During Halloween, some states require sex offenders to post rumors

PRESENTATION TO THE PRESIDENT",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
6698,102,"I have a chance to become America's first gay president...

Oh... Excuse me?",0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
311,332_batch_2,"AND THEN I TOLD THEM MY WIFE LIVES IN A GATED COMMUNITY!
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7645,578_batch_2,"WHAT DID YOU LEARN DURING THE PANDEMIC AT HOME?

I am a guy!

I'm a girl!

Damn atomic China!",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
540,630_batch_2,"Yes, I'm homeopathic, why do you ask?

I'd like to see a real medical doctor instead if you don't mind.

",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
5284,86_batch_2,"YOU THINK YOU ARE IN A HOUSE OF SLUTS, YOU SEE MANY PUSSIES!",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1511,608_batch_2,"I will never know measles, chicken pox, polio or whooping cough.

Thanks for vaccinating my mother.
I love you",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
6561,16,"Thousands of innocent people killed by drone strikes awarded Nobel Peace Prize

He decided not to take revenge on the drone and kill 150 people
Call to war",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
1080,697_batch_2,FaceTime Thanksgiving is better than Christmas on your stomach.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6614,120,"“When the law is unjust, a person is not only right to DG to obey, but he wanted DG to obey this.”
 Thomas Jefferson",0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2481,84_batch_2,IMAGINE the possibilities if you put in so much effort to clean up ruined communities.,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
7844,661_batch_2,"Except for vitamin sellers
This is a major beneficiary of the production of large vitamins.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7054,259_batch_2,"Who is watching me ""sleep"" Joe in the debate?",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6985,224_batch_2,"ME: ""List your sources at a high level.""

JOURNO LIB:",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7574,546_batch_2,"DO YOU KNOW What can't you find in your garage Wallace?

trophy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3954,38_batch_2,YOU CAN BE USUALLY MORE OR EVERYTHING IS A CROWN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2844,373_batch_2,"Obviously I'm lying and I know I'm lying, but it's sexism when you point it out or tell the truth !!!

DOWN",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
2803,328_batch_2,The boy who told us the Russians violated the election also told us that the NSA did not spy on Americans,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
4924,664_batch_2,"As well-fed Westerners, they oppose genetically engineered crops to become more productive and drought tolerant

Those who have no voice continue to starve to death due to drought.",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
3453,661_batch_2,"Besides the vitamin sellers,
This is the main user when you are taking a megadose of vitamins.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4043,212_batch_2,Do you need a second hall downstairs when you are full of shit,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2211,194,"Ranked fourth in lowy after old communist, gay and fake Indian!

There is nothing better than village people kicking your ass!",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
7296,364_batch_2,"Hi my TV plays this sound in repeating silence.
I asked if you could help me.

It's probably just ADAM THE SHIP LADY.
Try to disable test attempt",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
152,75_batch_2,"SPECIAL EDITION

DEMOCRATIC NATIONAL CONVENTION 2020
AMERICAS MOST WANTED

WHERE ALL THE CROOKS COME OUT
",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
7428,428_batch_2,"If you wear a mask but always eat in a restaurant, you are not afraid of viruses, you are afraid of your government.",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5244,186,"This iconic photograph of two children, one vaccinated against smallpox and the other not vaccinated, was published in 1901 and was taken by Dr. Allan Warner at the Leicester Isolation Hospital.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7630,573_batch_2,"The devil bowed his head
Because she knew she had been beaten
And he put down the gold pen
On the floor at Donald Duck's feet
Donald said, ""Nancy, come back
If you ever want to try again
I told you you drank an old club once
I am still your PRESIDENT """,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0
2627,238_batch_2,"Trump loves miners!

Biden loves minors!",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1636,14,21 presidential candidates and only 1 opposes the killing of children,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1846,348_batch_2,"LIAR LIAR 2020
Remake with Joe Biden

Kick my ass
Concern!",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
7179,320_batch_2,"IF HE IS A REPUBLIC IN THE OVAL OFFICE, EVERYONE WANTS TO BE BOB WOODWARD.

IF THE DEMOCRATE IS IN THE OVAL OFFICE, EVERYONE WANTS TO BE MONIKA LEVINSKI.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2604,228_batch_2,The picture they show you when you have an erection that lasts more than 4 hours,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4529,447_batch_2,Trump is afraid of me,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5493,44_batch_2,"Ideology that killed over 100 million people in the last century

Today it is praised in our universities.

WITH A SOCIALIST ALTERNATIVE
UNIVERSITY OF MELBOURNE
I WANT FULL COMMUNISM BECAUSE I'M WORTH A REAL COMPANY
Socialist Alliance
Australian National University",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5288,70_batch_2,"Only for STORM formation
sin

I hope the Democrats also punish that butter.",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6376,660_batch_2,"""If the chemtrails aren't real, explain why they seem to go back and forth all the time.""

""For the same reason you see your breath on a cold day but not on a hot day, stupid.""",0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
2548,156_batch_2,"WARNING!

Vaccines can cause ...
Hair loss or graying
wrinkles
Grandparents
Free or reduced bus tickets
Tell the children to get up from your lawn
Moaning for modern music",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3593,127,"Race WHO CALL OUR SOLDIER BABY KILLER ONCE

Now, kill the baby by this law",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
394,421_batch_2,"THEY LAUGHED WHEN I SAID THAT I will drain the swamp

THEY'RE NOT LAUGHING NOW !!
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6347,647_batch_2,"In fact Turkey contains L-tryptophan, which can cause drowsiness.

But more than the location of meat such as beef and chicken.
I ate more like that so that drowsiness is higher because I eat like a pig, some drank wine.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3570,175,A society that hides its drugs in order to sell drugs for huge profits is not a civilized society. This is a mental institution run by psychopaths.,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
6097,541_batch_2,I think we can all agree that the transition from ass time to timeless time doesn't have the expected result.,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
6702,116,"Truth is hatred for those who hate it.

TRUTH IS LOVE!",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
7217,340_batch_2,"IF YOU LIVE TODAY YOU CAN #WALKAWAY AB
Democrat festival today",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4475,417_batch_2,Joe Biden's Fromm is bigger than his audience,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
